Sales Domain.[Sold To],Sales Domain.[Sold To Image],Sales Domain.[Sold To Status],Sales Domain.[Sold To$DisplayName],Sales Domain.[Sold To$InActive],Sales Domain.[Sold To$Partition],Sales Domain.[Zip Code],Sales Domain.[Zip Code$DisplayName],Sales Domain.[Zip Code$InActive],Sales Domain.[Zip Code$Partition],Sales Domain.[Region],Sales Domain.[Region Image],Sales Domain.[Region$DisplayName],Sales Domain.[Region$InActive],Sales Domain.[Region$Partition],Sales Domain.[All Sales Domain],Sales Domain.[All Sales Domain Image],Sales Domain.[All Sales Domain$DisplayName],Sales Domain.[All Sales Domain$InActive],Sales Domain.[All Sales Domain$Partition],Sales Domain.[Division],Sales Domain.[Division Image],Sales Domain.[Division$DisplayName],Sales Domain.[Division$InActive],Sales Domain.[Division$Partition],Sales Domain.[Stat Customer Group],Sales Domain.[Stat Customer Group$DisplayName],Sales Domain.[Stat Customer Group$InActive],Sales Domain.[Stat Customer Group$Partition],Sales Domain.[Geo],Sales Domain.[Geo Image],Sales Domain.[Geo$DisplayName],Sales Domain.[Geo$InActive],Sales Domain.[Geo$Partition],Sales Domain.[City],Sales Domain.[City$DisplayName],Sales Domain.[City$InActive],Sales Domain.[City$Partition],Sales Domain.[Accounting Group],Sales Domain.[Accounting Group Image],Sales Domain.[Accounting Group$DisplayName],Sales Domain.[Accounting Group$InActive],Sales Domain.[Accounting Group$Partition],Sales Domain.[Ship To],Sales Domain.[Ship To$DisplayName],Sales Domain.[Ship To$InActive],Sales Domain.[Ship To$Partition],Sales Domain.[Latitude],Sales Domain.[Longitude],Sales Domain.[Ship To Status],Sales Domain.[Store Address],Sales Domain.[Store Open Date],Sales Domain.[Store Status],Sales Domain.[Street],Sales Domain.[Zone],Sales Domain.[Zone$DisplayName],Sales Domain.[Zone$InActive],Sales Domain.[Zone$Partition],Sales Domain.[Channel],Sales Domain.[Channel Image],Sales Domain.[Channel$DisplayName],Sales Domain.[Channel$InActive],Sales Domain.[Channel$Partition],Sales Domain.[Customer Group],Sales Domain.[Customer Group Image],Sales Domain.[Customer Group$DisplayName],Sales Domain.[Customer Group$InActive],Sales Domain.[Customer Group$Partition],Sales Domain.[Customer Class],Sales Domain.[Customer Class$DisplayName],Sales Domain.[Customer Class$InActive],Sales Domain.[Customer Class$Partition],Sales Domain.[State],Sales Domain.[State Image],Sales Domain.[State Code],Sales Domain.[State$DisplayName],Sales Domain.[State$InActive],Sales Domain.[State$Partition],Sales Domain.[Ship To Class],Sales Domain.[Ship To Class$DisplayName],Sales Domain.[Ship To Class$InActive],Sales Domain.[Ship To Class$Partition],Sales Domain.[Channel Group],Sales Domain.[Channel Group Image],Sales Domain.[Channel Group$DisplayName],Sales Domain.[Channel Group$InActive],Sales Domain.[Channel Group$Partition],Sales Domain.[Country],Sales Domain.[Country Image],Sales Domain.[Country$DisplayName],Sales Domain.[Country$InActive],Sales Domain.[Country$Partition]
23475,,,23475,,,60423,60423,,,24,https://api.time.com/wp-content/uploads/2014/09/148616068.jpg?w=800&quality=85.jpg,24,,,All,,All,,,24,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_24.png,24,,,229,229,,,North America,,North America,,,Frankfort,Frankfort,,,MCDUS-SACO-0007,,MCDUS-SACO-0007,,,23475,23475,,,41.50560995,-87.79180248,,,29-Dec-2001,OPENED,West Lincoln Highway,zz_NONE,zz_NONE,,,99,,99,,,23475,,23475,,,,,,,Illinois,,IL,Illinois,,,zz_None,zz_None,,,99,,99,,,USA,,USA,,
23894,,,23894,,,84065,84065,,,64,https://www.planetware.com/photos-large/USUT/utah-arches-national-park.jpg,64,,,All,,All,,,64,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_64.png,64,,,210,210,,,North America,,North America,,,Riverton,Riverton,,,MCDUS-SACO-0084,,MCDUS-SACO-0084,,,23894,23894,,,40.52279235,-111.9448274,,,19-Oct-2000,OPENED,12600 South,zz_NONE,zz_NONE,,,14,,14,,,23894,,23894,,,,,,,Utah,,UT,Utah,,,zz_None,zz_None,,,14,,14,,,USA,,USA,,
24037,,,24037,,,84737,84737,,,64,https://www.planetware.com/photos-large/USUT/utah-arches-national-park.jpg,64,,,All,,All,,,64,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_64.png,64,,,210,210,,,North America,,North America,,,Hurricane,Hurricane,,,MCDUS-SACO-0084,,MCDUS-SACO-0084,,,24037,24037,,,37.176929,-113.310555,,,10-Aug-1999,OPENED,W State St,zz_NONE,zz_NONE,,,14,,14,,,24037,,24037,,,,,,,Utah,,UT,Utah,,,zz_None,zz_None,,,14,,14,,,USA,,USA,,
2498,,,2498,,,11232,11232,,,30,https://www.planetware.com/photos-large/USNY/new-york-city-statue-of-liberty.jpg,30,,,All,,All,,,30,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_30.png,30,,,246,246,,,North America,,North America,,,New York,New York,,,MCDUS-SACO-0009,,MCDUS-SACO-0009,,,2498,2498,,,40.6537481,-74.0054161,,,05-Sep-1973,OPENED,4th Avenue,zz_NONE,zz_NONE,,,42,,42,,,2498,,2498,,,,,,,New York,,NY,New York,,,zz_None,zz_None,,,42,,42,,,USA,,USA,,
26777,,,26777,,,60666,60666,,,24,https://api.time.com/wp-content/uploads/2014/09/148616068.jpg?w=800&quality=85.jpg,24,,,All,,All,,,24,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_24.png,24,,,229,229,,,North America,,North America,,,Chicago,Chicago,,,MCDUS-SACO-0007,,MCDUS-SACO-0007,,,26777,26777,,,41.97506545,-87.90003767,,,16-May-2001,OPENED,O'Hare Commercial Arrivals,zz_NONE,zz_NONE,,,99,,99,,,26777,,26777,,,,,,,Illinois,,IL,Illinois,,,zz_None,zz_None,,,99,,99,,,USA,,USA,,
27008,,,27008,,,11217,11217,,,30,https://www.planetware.com/photos-large/USNY/new-york-city-statue-of-liberty.jpg,30,,,All,,All,,,30,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_30.png,30,,,246,246,,,North America,,North America,,,New York,New York,,,MCDUS-SACO-0009,,MCDUS-SACO-0009,,,27008,27008,,,40.6846278,-73.97690927,,,24-Jul-2004,OPENED,Flatbush Avenue,zz_NONE,zz_NONE,,,42,,42,,,27008,,27008,,,,,,,New York,,NY,New York,,,zz_None,zz_None,,,42,,42,,,USA,,USA,,
27503,,,27503,,,32827,32827,,,22,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800.jpg",22,,,All,,All,,,22,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_22 - Copy.jpg,22,,,250,250,,,North America,,North America,,,Orlando,Orlando,,,MCDUS-SACO-0036,,MCDUS-SACO-0036,,,27503,27503,,,28.43112225,-81.30780563,,,06-Nov-2003,OPENED,Casa Verde Road,zz_NONE,zz_NONE,,,15,,15,,,27503,,27503,,,,,,,Florida,,FL,Florida,,,zz_None,zz_None,,,15,,15,,,USA,,USA,,
28072,,,28072,,,37064,37064,,,66,https://www.planetware.com/photos-large/USTN/us-tennessee-titanic-museum.jpg,66,,,All,,All,,,66,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_66_adobespark.png,66,,,234,234,,,North America,,North America,,,Franklin,Franklin,,,MCDUS-SACO-TEMP,,MCDUS-SACO-TEMP,,,28072,28072,,,35.861077,-86.840375,,,25-Jun-2020,OPENED,Village Plains Blvd,zz_NONE,zz_NONE,,,60,,60,,,28072,,28072,,,,,,,Tennessee,,TN,Tennessee,,,zz_None,zz_None,,,60,,60,,,USA,,USA,,
31591,,,31591,,,60654,60654,,,24,https://api.time.com/wp-content/uploads/2014/09/148616068.jpg?w=800&quality=85.jpg,24,,,All,,All,,,24,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_24.png,24,,,229,229,,,North America,,North America,,,Chicago,Chicago,,,MCDUS-SACO-0007,,MCDUS-SACO-0007,,,31591,31591,,,41.8885454,-87.63537017,,,30-Oct-2007,OPENED,Merchandise Mart Plaza,zz_NONE,zz_NONE,,,99,,99,,,31591,,31591,,,,,,,Illinois,,IL,Illinois,,,zz_None,zz_None,,,99,,99,,,USA,,USA,,
32035,,,32035,,,84111,84111,,,64,https://www.planetware.com/photos-large/USUT/utah-arches-national-park.jpg,64,,,All,,All,,,64,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_64.png,64,,,210,210,,,North America,,North America,,,Salt Lake City,Salt Lake City,,,MCDUS-SACO-0084,,MCDUS-SACO-0084,,,32035,32035,,,40.7683326,-111.8888801,,,10-Jun-2009,OPENED,Regent Court,zz_NONE,zz_NONE,,,14,,14,,,32035,,32035,,,,,,,Utah,,UT,Utah,,,zz_None,zz_None,,,14,,14,,,USA,,USA,,
